year,test.1,total
1958,adult standard,668
1959,adult standard,1597
1960,adult standard,1953
1961,adult standard,1785
1962,adult standard,1760
1962,brill building po,429
1963,adult standard,1784
1963,brill building po,518
1964,adult standard,1546
1964,brill building po,642
1965,adult standard,1579
1965,brill building po,747
1966,adult standard,1493
1966,brill building po,766
1967,adult standard,1383
1967,brill building po,766
1967,classic sou,512
1968,adult standard,1136
1968,brill building po,719
1968,classic sou,571
1969,adult standard,1096
1969,brill building po,621
1969,classic sou,537
1970,adult standard,1112
1970,classic sou,527
1971,adult standard,1122
1971,classic sou,571
1971,album roc,477
1972,adult standard,950
1972,album roc,789
1972,classic sou,689
1973,adult standard,1129
1973,classic sou,738
1973,album roc,737
1974,adult standard,1006
1974,album roc,834
1974,classic sou,757
1975,adult standard,1077
1975,album roc,783
1976,adult standard,1065
1976,album roc,1051
1976,classic sou,523
1977,adult standard,1220
1977,album roc,1109
1977,classic sou,417
1978,album roc,1311
1978,adult standard,1066
1979,album roc,1291
1979,adult standard,693
1979,disc,477
1980,album roc,1216
1980,adult standard,1097
1980,disc,295
1981,album roc,1367
1981,adult standard,1019
1982,album roc,1705
1982,adult standard,897
1983,album roc,1645
1983,adult standard,656
1983,dance roc,456
1984,album roc,1592
1984,adult standard,483
1984,dance roc,477
1985,album roc,1425
1985,dance roc,614
1985,adult standard,366
1986,album roc,1512
1986,dance roc,342
1987,album roc,1377
1987,dance po,346
1988,album roc,1108
1988,dance po,390
1988,dance roc,390
1989,album roc,989
1989,dance po,465
1990,album roc,825
1990,dance po,467
1991,album roc,746
1991,dance po,520
1992,dance po,530
1992,album roc,528
1993,dance po,711
1993,album roc,286
1994,dance po,706
1994,album roc,338
1995,dance po,538
1995,boy ban,318
1996,dance po,664
1996,alternative roc,313
1997,dance po,766
1997,boy ban,197
1998,dance po,668
1998,contemporary countr,296
1999,dance po,1054
1999,contemporary countr,705
2000,dance po,1108
2000,contemporary countr,827
2001,dance po,1076
2001,contemporary countr,806
2001,alternative meta,477
2002,dance po,981
2002,contemporary countr,732
2002,alternative meta,560
2003,dance po,1151
2003,contemporary countr,712
2003,alternative meta,586
2004,dance po,819
2004,contemporary countr,790
2004,alternative meta,555
2005,dance po,1325
2005,contemporary countr,884
2005,alternative meta,355
2006,dance po,1293
2006,contemporary countr,851
2006,atl hip ho,387
2007,dance po,1545
2007,contemporary countr,826
2007,alternative meta,442
2008,dance po,1407
2008,contemporary countr,846
2008,alternative meta,367
2009,dance po,1854
2009,contemporary countr,931
2009,alternative meta,283
2010,dance po,1509
2010,contemporary countr,1018
2010,atl hip ho,373
2011,dance po,1777
2011,contemporary countr,1176
2011,hip ho,178
2012,dance po,1261
2012,contemporary countr,1100
2012,atl hip ho,281
2013,dance po,1150
2013,contemporary countr,1104
2013,atl hip ho,244
2014,dance po,1327
2014,contemporary countr,1115
2014,po,264
2015,dance po,1252
2015,contemporary countr,1083
2015,po,418
2016,dance po,1098
2016,contemporary countr,888
2016,canadian hip ho,328
2017,dance po,915
2017,contemporary countr,824
2017,atl hip ho,434
2018,dance po,698
2018,contemporary countr,672
2018,po,483
2019,contemporary countr,1104
2019,dance po,925
2019,po,560
2020,contemporary countr,675
2020,dance po,450
2021,contemporary countr,283
2021,contemporary country,173
